"Sample","Codec","Original size (KB)","Compressed size (KB)","Bitrate (Kbit/s)","Rate","MOS-LQO speech","MOS-LQO audio","MSE","AVG Absolute Error"
"04_baritone",".m4a","158.7734375","30.3720703125","128","5.2276132600237935","4.99663","4.72864","0.1486581809207335","0.000686568495390602"
"04_baritone",".mp3","158.7734375","29.8388671875","128","5.321027655048273","4.99783","4.72787","0.14858404425167246","0.0006870466528623429"
"04_baritone",".opus","158.7734375","33.3486328125","128","4.761017892178395","4.99773","4.73083","0.14868802384006713","0.0006874705932857112"
"04_baritone",".m4a","158.7734375","4.9033203125","16","32.38080063732324","3.22527","2.20064","0.14849915089929475","0.0006650173469513099"
"04_baritone",".opus","158.7734375","4.748046875","16","33.43973673385438","4.67756","4.23888","0.14355999577841866","0.0006741711525312544"
"04_baritone",".m4a","158.7734375","37.44140625","160","4.240584246218049","4.99685","4.72899","0.14859065207406602","0.0006863556101235115"
"04_baritone",".mp3","158.7734375","37.2880859375","160","4.258020585077128","4.99927","4.73061","0.1486652914467453","0.0006872816335536575"
"04_baritone",".opus","158.7734375","40.345703125","160","3.935324587306966","4.99844","4.73145","0.1484777660544374","0.0006866566112403006"
"04_baritone",".m4a","158.7734375","44.6650390625","192","3.5547587292564007","4.99894","4.73102","0.14857171605791733","0.0006864976684850824"
"04_baritone",".mp3","158.7734375","44.736328125","192","3.5490940842610783","4.99965","4.73139","0.14863756757737925","0.0006871690018080671"
"04_baritone",".opus","158.7734375","47.36328125","192","3.352247422680412","4.999","4.7317","0.14854529382557383","0.0006868596332621813"
"04_baritone",".m4a","158.7734375","50.3583984375","224","3.1528690829406405","4.99956","4.73147","0.14853039618710526","0.0006864856910435772"
"04_baritone",".mp3","158.7734375","52.1865234375","224","3.0424222010142405","4.99977","4.7317","0.14867251137004536","0.0006873027182209242"
"04_baritone",".opus","158.7734375","54.2861328125","224","2.92475129971757","4.99922","4.73173","0.14868608064261432","0.000687412213643815"
"04_baritone",".m4a","158.7734375","6.7783203125","24","23.423714162224464","3.17305","2.18909","0.1490156601737862","0.0006721735152977601"
"04_baritone",".opus","158.7734375","8.8388671875","24","17.96309800022097","4.92171","4.61585","0.14513572576913478","0.0006745075485849022"
"04_baritone",".m4a","158.7734375","52.7001953125","256","3.0127675345131104","4.99956","4.73148","0.14853024299825024","0.0006864929290345063"
"04_baritone",".mp3","158.7734375","59.634765625","256","2.662430812563456","4.9999","4.73179","0.14861488419844263","0.0006870905394857269"
"04_baritone",".opus","158.7734375","61.0087890625","256","2.6024682662910377","4.99933","4.73178","0.14865022702138037","0.0006872663831090114"
"04_baritone",".m4a","158.7734375","8.580078125","32","18.50489414978375","4.90181","2.61776","0.14802896928925663","0.0006840225410725233"
"04_baritone",".mp3","158.7734375","7.568359375","32","20.97858064516129","4.50983","2.56179","0.1465666612517039","0.0006778733427899611"
"04_baritone",".opus","158.7734375","11.00390625","32","14.42882499112531","4.94124","4.63813","0.14755718006396967","0.0006838691568143749"
"04_baritone",".m4a","158.7734375","52.958984375","320","2.9980453623455654","4.99956","4.73149","0.14853024335917442","0.0006864929619272251"
"04_baritone",".mp3","158.7734375","74.5322265625","320","2.13026558876325","4.99994","4.73189","0.14861926875269427","0.000687094769534081"
"04_baritone",".m4a","158.7734375","10.4951171875","40","15.128314878570764","4.95422","4.04215","0.1496846462334517","0.0006907815154650762"
"04_baritone",".mp3","158.7734375","9.4052734375","40","16.881320735126156","4.89073","3.37138","0.14647561230994707","0.0006805901275072462"
"04_baritone",".opus","158.7734375","13.1845703125","40","12.042367232056884","4.93257","4.48785","0.14922628196620913","0.0006906703979516784"
"04_baritone",".m4a","158.7734375","12.236328125","48","12.975578611332802","4.96619","3.94575","0.14787435643097735","0.0006831604313648462"
"04_baritone",".mp3","158.7734375","11.2421875","48","14.123002084781097","4.95298","3.58721","0.14800885218319842","0.0006872779849781819"
"04_baritone",".opus","158.7734375","15.29296875","48","10.382120051085568","4.95823","4.49201","0.14891736421536403","0.0006886039926171235"
"04_baritone",".m4a","158.7734375","15.91796875","64","9.974478527607362","4.98352","3.88005","0.1480788004704698","0.0006838072077900935"
"04_baritone",".mp3","158.7734375","14.9404296875","64","10.627099810445127","4.97518","3.92482","0.1469149191949909","0.0006818067775818812"
"04_baritone",".opus","158.7734375","20.97265625","64","7.570497299310858","4.99298","4.72391","0.1489941146919374","0.0006893330018034236"
"04_baritone",".m4a","158.7734375","2.9638671875","8","53.56968698517298","1.97285","1.86225","0.1536413474026219","0.0005971302674521057"
"04_baritone",".opus","158.7734375","2.1083984375","8","75.30523390458545","2.7242","1.89402","0.1356335987072477","0.0006368387407790093"
"04_baritone",".m4a","158.7734375","19.5322265625","80","8.128793560321984","4.98405","4.16691","0.14861474678852188","0.0006857903197698419"
"04_baritone",".mp3","158.7734375","18.666015625","80","8.50601653238464","4.99012","4.47936","0.1488623449991164","0.0006885816352292225"
"04_baritone",".opus","158.7734375","23.8134765625","80","6.667377486159524","4.99567","4.72799","0.14799883347198992","0.000684854031249081"
"04_baritone",".m4a","158.7734375","23.1884765625","96","6.847083596546641","4.97906","4.72261","0.14851960801214376","0.0006857387054945192"
"04_baritone",".mp3","158.7734375","22.390625","96","7.091067690160503","4.9954","4.71588","0.14896158243646732","0.0006887983554706836"
"04_baritone",".opus","158.7734375","26.201171875","96","6.059783824077525","4.99526","4.72901","0.14854456638773958","0.0006871843349054584"
"05_countertenorA",".m4a","213.154296875","35.55078125","112","5.995769695637842","4.98965","4.70888","0.20649407926027907","0.000333767477686727"
"05_countertenorA",".mp3","213.154296875","34.685546875","112","6.145334759840081","4.99753","4.71353","0.2067238639707494","0.00033435046607948514"
"05_countertenorA",".opus","213.154296875","39.9345703125","112","5.337588340302741","4.985","4.71474","0.20704898901303243","0.0003361053968242928"
"05_countertenorA",".m4a","213.154296875","40.3349609375","128","5.284604023920781","4.99744","4.71646","0.20659021479921316","0.0003338830828037309"
"05_countertenorA",".mp3","213.154296875","39.634765625","128","5.377962844330558","4.9984","4.71426","0.20689289299996158","0.00033460870106171646"
"05_countertenorA",".opus","213.154296875","44.626953125","128","4.776357827476039","4.9843","4.71595","0.20700765939485052","0.0003357466545581791"
"05_countertenorA",".m4a","213.154296875","6.23046875","16","34.211598746081506","4.1947","4.23877","0.20302461407100383","0.000339027750668747"
"05_countertenorA",".opus","213.154296875","6.4287109375","16","33.1566155248367","4.50408","4.31655","0.19600484178247038","0.0003430591416463566"
"05_countertenorA",".m4a","213.154296875","50","160","4.2630859375","4.99768","4.73124","0.20672623867017942","0.0003341270914056416"
"05_countertenorA",".mp3","213.154296875","49.533203125","160","4.303260912424589","4.99935","4.71644","0.20689934928399414","0.0003345592282546171"
"05_countertenorA",".opus","213.154296875","54.013671875","160","3.9463026577472426","4.99026","4.71631","0.20706432193346422","0.00033539425499918706"
"05_countertenorA",".m4a","213.154296875","59.8173828125","192","3.5634173020096975","4.99924","4.73143","0.20668657237383362","0.00033407670115787134"
"05_countertenorA",".mp3","213.154296875","59.4306640625","192","3.5866046633912285","4.99972","4.71768","0.2067247264742725","0.0003342918023646907"
"05_countertenorA",".opus","213.154296875","63.4228515625","192","3.360843790899992","4.9935","4.7171","0.20673631032190806","0.00033457763757008106"
"05_countertenorA",".m4a","213.154296875","67.8046875","224","3.1436513423205437","4.99948","4.73109","0.2066870961764737","0.00033412420741953867"
"05_countertenorA",".mp3","213.154296875","69.3291015625","224","3.0745284746383446","4.99984","4.71739","0.20675852438785547","0.0003343344339484839"
"05_countertenorA",".opus","213.154296875","72.71875","224","2.931215083798883","4.99617","4.71765","0.20684913276024344","0.00033460200056915717"
"05_countertenorA",".m4a","213.154296875","8.6875","24","24.5357464028777","4.67246","4.43944","0.20575093411135092","0.0003326992808261921"
"05_countertenorA",".opus","213.154296875","10.7666015625","24","19.797732426303856","4.83411","4.49467","0.20550103384807128","0.00034214274822231346"
"05_countertenorA",".m4a","213.154296875","70.2705078125","256","3.0333393554483927","4.99946","4.7316","0.20668641946458277","0.000334119900197066"
"05_countertenorA",".mp3","213.154296875","79.2265625","256","2.690439798836407","4.99991","4.71772","0.206727133525562","0.0003342929155205047"
"05_countertenorA",".opus","213.154296875","81.8330078125","256","2.60474718665346","4.99648","4.71764","0.20684833324468785","0.0003345440827623278"
"05_countertenorA",".m4a","213.154296875","11.1796875","32","19.06621243885395","4.91253","4.52714","0.2052719796382891","0.00033271661226420943"
"05_countertenorA",".mp3","213.154296875","10.017578125","32","21.278026905829595","4.80118","4.46674","0.20116016703688838","0.0003331847240650416"
"05_countertenorA",".opus","213.154296875","13.8525390625","32","15.387381036305957","4.90132","4.62336","0.20364290964779083","0.0003362073684499573"
"05_countertenorA",".m4a","213.154296875","70.232421875","320","3.034984287660947","4.99946","4.7316","0.2066864252952889","0.00033412053630625644"
"05_countertenorA",".mp3","213.154296875","99.0224609375","320","2.1525853312162844","4.99994","4.71788","0.20672612325056158","0.0003342886451515471"
"05_countertenorA",".m4a","213.154296875","13.5986328125","40","15.674685816876123","4.94065","4.67455","0.2058343473391736","0.00033349088124777943"
"05_countertenorA",".mp3","213.154296875","12.466796875","40","17.09775967413442","4.90569","4.5231","0.20619358320020736","0.0003395111243427413"
"05_countertenorA",".opus","213.154296875","17.0166015625","40","12.52625538020086","4.93429","4.67568","0.2052843370301377","0.00033761470711224075"
"05_countertenorA",".m4a","213.154296875","16.1328125","48","13.212469733656174","4.95313","4.67649","0.20662920769841656","0.00033421390431786997"
"05_countertenorA",".mp3","213.154296875","14.9150390625","48","14.29123289465069","4.92986","4.52321","0.20242216740303337","0.00033213551334529894"
"05_countertenorA",".opus","213.154296875","19.7763671875","48","10.778233173670436","4.94454","4.66272","0.2064947767048929","0.0003380530202961126"
