"Sample","Original size (KB)","Compressed size (KB)","q","Rate","MOS-LQO speech","MOS-LQO audio","MSE","AVG Absolute Error"
"03_mezzosoprano","366.546875","40.826171875","0.30","8.97823278955174","3.64191","3.29126","0.0020845729305936957","6.726461181938338E-05"
"03_mezzosoprano","366.546875","66.607421875","0.40","5.503093569480691","4.20849","3.46176","0.0023285994587582395","6.835775605257476E-05"
"03_mezzosoprano","366.546875","99.361328125","0.50","3.689029544158984","4.43343","3.71516","0.00241884844605197","6.869714140292986E-05"
"03_mezzosoprano","366.546875","138.853515625","0.60","2.6398098265652035","4.44286","4.08569","0.002443967294410279","6.883261559646946E-05"
"03_mezzosoprano","366.546875","181.345703125","0.70","2.0212603259055024","4.43937","4.33079","0.0024865158316497438","6.957043078200524E-05"
"03_mezzosoprano","366.546875","233.978515625","0.80","1.5665834703707104","4.43968","4.43928","0.0025064665029710838","7.000211250577981E-05"
"03_mezzosoprano","366.546875","293.455078125","0.90","1.2490732051461242","4.43331","4.4751","0.002521558071193871","7.030122619472832E-05"
"03_mezzosoprano","366.546875","360.017578125","1.00","1.018136050214562","4.43165","4.48806","0.00253332237150642","7.067659791990606E-05"
"04_baritone","158.439453125","1.310546875","0.00","120.89567809239941","1.59485","2.65474","0.13874449385461712","0.0011140137805651083"
"04_baritone","158.439453125","3.451171875","0.10","45.908885116015846","2.22058","2.39544","0.014024819725467949","0.00030496046738525865"
"04_baritone","158.439453125","8.630859375","0.20","18.35732066078298","2.58976","2.62884","0.003130223013416535","0.00016025099256166824"
"04_baritone","158.439453125","16.833984375","0.30","9.41188072862281","3.37043","2.70717","0.002825995388643953","0.00013873960534794639"
"04_baritone","158.439453125","27.521484375","0.40","5.756937052019019","3.33533","2.94377","0.0031625766480568194","0.0001399472796085436"
"04_baritone","158.439453125","41.638671875","0.50","3.8051034288662695","4.83768","2.84629","0.002925515010868536","0.00013029737203735159"
"04_baritone","158.439453125","58.779296875","0.60","2.6954975909619536","4.88739","3.30932","0.002942863628309063","0.00012610911111817394"
"04_baritone","158.439453125","78.943359375","0.70","2.0070016576362604","4.91122","3.5119","0.003030187890497956","0.0001256357957286536"
"04_baritone","158.439453125","101.052734375","0.80","1.5678888266104873","4.9191","4.01765","0.0030813482684571934","0.00012593630179696063"
"04_baritone","158.439453125","127.130859375","0.90","1.2462706057673103","4.92341","4.09637","0.003108025168725108","0.00012640005322196577"
"04_baritone","158.439453125","156.232421875","1.00","1.0141265892412896","4.92229","4.21045","0.0031377376003552814","0.00012814949201371174"
"05_countertenorA","212.814453125","1.337890625","0.00","159.06715328467152","1.57536","1.73458","0.16715057550003046","0.0008062944340049913"
"05_countertenorA","212.814453125","4.021484375","0.10","52.919378338999515","3.85302","4.3113","0.0018845301107605072","5.61442831405903E-05"
"05_countertenorA","212.814453125","10.705078125","0.20","19.87976646597336","4.15456","4.38102","0.0006491335929770941","3.547587981576307E-05"
"05_countertenorA","212.814453125","21.373046875","0.30","9.957141551676871","4.33874","4.39696","0.0005361071952562285","3.233253880939344E-05"
"05_countertenorA","212.814453125","36.568359375","0.40","5.819633605725578","4.32994","4.41944","0.0005070200053842043","3.166070085097081E-05"
"05_countertenorA","212.814453125","55.337890625","0.50","3.8457275967952564","4.29916","4.45499","0.0005138765425833808","3.175621609646329E-05"
"05_countertenorA","212.814453125","78.091796875","0.60","2.725183202861216","4.28536","4.54488","0.0005201535488614437","3.220555130328505E-05"
"05_countertenorA","212.814453125","105.771484375","0.70","2.0120210506878404","4.27942","4.58307","0.0005317975391118211","3.274271951246039E-05"
"05_countertenorA","212.814453125","136.626953125","0.80","1.557631552613898","4.27725","4.59531","0.0005413957637676204","3.322997869451686E-05"
"05_countertenorA","212.814453125","170.916015625","0.90","1.2451404998343027","4.27295","4.60758","0.0005452829771962124","3.353932291243268E-05"
"05_countertenorA","212.814453125","209.681640625","1.00","1.0149408049777844","4.2587","4.63149","0.0005660385919459468","4.846066423040833E-05"
"06_countertenorB","208.0234375","2.509765625","0.00","82.88560311284047","1.60355","1.62979","0.0930795869899693","0.000561399155636015"
"06_countertenorB","208.0234375","5.611328125","0.10","37.07205012182388","3.4295","4.56109","0.0009897926825578956","4.434440312217875E-05"
"06_countertenorB","208.0234375","12.384765625","0.20","16.796719760290173","4.48262","4.6825","0.000765736844497071","2.944004484887432E-05"
"06_countertenorB","208.0234375","22.728515625","0.30","9.152530720976197","4.58471","4.68574","0.000777690740923021","2.847001475421597E-05"
"06_countertenorB","208.0234375","38.017578125","0.40","5.471769843308502","4.59425","4.68776","0.0008013885473835775","2.888422204310775E-05"
"06_countertenorB","208.0234375","55.904296875","0.50","3.721063480417846","4.64665","4.68779","0.000820182999179919","2.954280561948024E-05"
"06_countertenorB","208.0234375","77.560546875","0.60","2.6820780136486113","4.79274","4.70099","0.00082895774647266","3.044550801361551E-05"
"06_countertenorB","208.0234375","102.873046875","0.70","2.0221374190731143","4.79883","4.70258","0.0008384076526612351","3.109947234935503E-05"
