"Sample","q","Original duration (ms)","Original size (KB)","Compression time (ms)","Comp Time / Orig dur","Size (KB)","Rate","Decompression time (ms)","Decomp Time / Orig dur"
"03_mezzosoprano","0.4","4255.102","366.880859375","165","0.03877697878922762","66.607421875","5.508107791103422","161","0.037836930818579674"
"03_mezzosoprano","0.5","4255.102","366.880859375","368","0.08648441329961068","99.361328125","3.6923908556601734","157","0.03689688284793173"
"03_mezzosoprano","0.6","4255.102","366.880859375","355","0.08342925739500487","138.853515625","2.6422151266650724","163","0.03830695480390364"
"03_mezzosoprano","0.7","4255.102","366.880859375","515","0.12103117622092256","181.345703125","2.023102025869961","112","0.02632134317814238"
"03_mezzosoprano","0.8","4255.102","366.880859375","921","0.2164460452416887","233.978515625","1.5680108850805947","65","0.01527577952302906"
"03_mezzosoprano","0.9","4255.102","366.880859375","278","0.06533333396003198","293.455078125","1.250211315882302","113","0.026556355170804367"
"03_mezzosoprano","1","4255.102","366.880859375","54","0.01269064760374722","360.017578125","1.0190637392922437","69","0.016215827493677004"
"04_baritone","0","1838.98","158.7734375","633","0.34421255261068634","1.310546875","121.150521609538","85","0.04622127483713798"
"04_baritone","0.1","1838.98","158.7734375","123","0.06688490358785848","3.451171875","46.00565930956423","45","0.024470086678484812"
"04_baritone","0.2","1838.98","158.7734375","427","0.23219393359362256","8.630859375","18.39601719846119","87","0.04730883424507064"
"04_baritone","0.3","1838.98","158.7734375","38","0.020663628750720506","16.833984375","9.431720617240979","87","0.04730883424507064"
"04_baritone","0.4","1838.98","158.7734375","786","0.4274108473175347","27.521484375","5.769072457597048","50","0.02718898519831646"
"04_baritone","0.5","1838.98","158.7734375","642","0.34910656994638334","41.638671875","3.8131244429851305","124","0.06742868329182482"
"04_baritone","0.6","1838.98","158.7734375","571","0.3104982109647739","58.779296875","2.701179597939857","57","0.03099544312608076"
"04_baritone","0.7","1838.98","158.7734375","695","0.37792689425659876","78.943359375","2.011232341225661","108","0.05872820802836355"
"04_baritone","0.8","1838.98","158.7734375","940","0.5111529217283494","101.052734375","1.5711938769593536","47","0.02555764608641747"
"04_baritone","0.9","1838.98","158.7734375","130","0.07069136151562279","127.130859375","1.2488976970702554","91","0.049483953060935955"
"04_baritone","1","1838.98","158.7734375","3","0.0016313391118989876","156.232421875","1.0162643297370955","114","0.06199088625216152"
"05_countertenorA","0","2470.272","213.154296875","573","0.23195826208611844","1.337890625","159.32116788321167","157","0.06355575418415461"
"05_countertenorA","0.1","2470.272","213.154296875","576","0.23317270324887301","4.021484375","53.003885381253035","120","0.04857764651018188"
"05_countertenorA","0.2","2470.272","213.154296875","807","0.32668467278097313","10.705078125","19.911512497719393","121","0.04898246023110006"
"05_countertenorA","0.3","2470.272","213.154296875","649","0.2627241048759003","21.373046875","9.973042127387371","118","0.04776801906834551"
"05_countertenorA","0.4","2470.272","213.154296875","275","0.11132377325250013","36.568359375","5.828926988196336","110","0.04452950930100005"
"05_countertenorA","0.5","2470.272","213.154296875","357","0.14451849836779107","55.337890625","3.8518688455158294","61","0.02469363697600912"
"05_countertenorA","0.6","2470.272","213.154296875","879","0.35583126068708226","78.091796875","2.729535052397269","63","0.025503264417845485"
