"Sample","Original duration (ms)","Original size (KB)","Original sample rate (fps)","Bitrate (Kbit/s)","ACC compression time (ms)","ACC Comp Time / Orig dur","ACC size (KB)","ACC rate","ACC sample rate","ACC Bit Rate","Opus compression time (ms)","Opus Comp Time / Orig dur","Opus size (KB)","Opus rate","Opus sample rate","Opus Bit Rate"
"07_bass","2623.8100000000004","226.470703125","44100","16","115","0.0438293931344114","6.5341796875","34.659393214766105","44100","16404","153","0.05831214912665169","7.2138671875","31.393799918776228","48000","22467"
"07_bass","2623.8100000000004","226.470703125","44100","24","131","0.04992739565745995","9.123046875","24.82402055234425","44100","24416","164","0.06250452586124756","14.2431640625","15.900308536167294","48000","44359"
"07_bass","2623.8100000000004","226.470703125","44100","32","141","0.053738647234365285","11.724609375","19.315842078960518","44100","32468","145","0.05526314786512742","18.302734375","12.373599402411696","48000","57003"
"07_bass","2623.8100000000004","226.470703125","44100","40","133","0.050689645972841015","14.310546875","15.825440152859288","44100","40471","139","0.05297639691898422","23.5048828125","9.63504923345382","48000","73204"
"07_bass","2623.8100000000004","226.470703125","44100","48","141","0.053738647234365285","16.943359375","13.366340057636888","44100","48619","116","0.04421051829210194","26.1005859375","8.676843641261646","48000","81289"
"07_bass","2623.8100000000004","226.470703125","44100","64","153","0.05831214912665169","22.1357421875","10.230996602991132","44100","64688","140","0.053357522076674754","31.3115234375","7.232822879955088","48000","97518"
"07_bass","2623.8100000000004","226.470703125","44100","80","137","0.05221414660360315","27.2197265625","8.320094715315896","44100","80422","137","0.05221414660360315","36.0322265625","6.285226441174079","48000","112220"
"07_bass","2623.8100000000004","226.470703125","44100","96","161","0.06136115038817597","32.43359375","6.982596651812598","44100","96558","139","0.05297639691898422","40.51171875","5.5902516632918715","48000","126172"
"07_bass","2623.8100000000004","226.470703125","44100","112","146","0.05564427302281796","37.5107421875","6.037489260888808","44100","112270","155","0.05907439944203276","45.5146484375","4.975776170961444","48000","141753"
"07_bass","2623.8100000000004","226.470703125","44100","128","164","0.06250452586124756","42.576171875","5.319188953621726","44100","127947","125","0.047640644711316744","50.5068359375","4.483961406833079","48000","157301"
"07_bass","2623.8100000000004","226.470703125","44100","160","142","0.05411977239205582","52.8837890625","4.2824220264805275","44100","159847","139","0.05297639691898422","60.4970703125","3.7434986844016853","48000","188415"
"07_bass","2623.8100000000004","226.470703125","44100","192","129","0.04916514534207888","63.044921875","3.592211654636141","44100","191293","139","0.05297639691898422","70.4921875","3.2127064169345005","48000","219544"
"07_bass","2623.8100000000004","226.470703125","44100","224","130","0.04954627049976941","71.9658203125","3.146920331646154","44100","218901","130","0.04954627049976941","80.3369140625","2.8190117303835165","48000","250205"
"07_bass","2623.8100000000004","226.470703125","44100","256","137","0.05221414660360315","73.9716796875","3.0615865974890095","44100","225109","146","0.05564427302281796","90.044921875","2.5150857861744353","48000","280441"
"07_bass","2623.8100000000004","226.470703125","44100","320","149","0.056787648495889555","74.1044921875","3.056099521631986","44100","225520",,,,,,
"08_male","1214.059","105.009765625","44100","8","110","0.09060515180893186","2.439453125","43.04643714971978","44100","9537","140","0.11531564775682236","1.3515625","77.69508670520231","48000","9071"
"08_male","1214.059","105.009765625","44100","16","112","0.09225251820545789","3.5361328125","29.696216514774925","44100","16798","126","0.10378408298114013","2.794921875","37.571628232005594","48000","18758"
"08_male","1214.059","105.009765625","44100","24","137","0.11284459816203331","4.6943359375","22.36946120241315","44100","24466","139","0.11449196455855935","4.2099609375","24.94316863836697","48000","28255"
"08_male","1214.059","105.009765625","44100","32","143","0.11778669735161142","5.9609375","17.61631716906946","44100","32852","118","0.09719461739503599","5.4560546875","19.24646500805441","48000","36619"
"08_male","1214.059","105.009765625","44100","40","125","0.10296039978287712","7.212890625","14.558624424587057","44100","41141","117","0.09637093419677298","6.6650390625","15.755311355311356","48000","44733"
"08_male","1214.059","105.009765625","44100","48","154","0.1268472125325046","8.4208984375","12.470138003015192","44100","49140","121","0.09966566698982504","7.9560546875","13.19872345648705","48000","53398"
"08_male","1214.059","105.009765625","44100","64","141","0.11613933095508538","10.8154296875","9.709255079006772","44100","64994","124","0.1021367165846141","10.61328125","9.894184762605816","48000","71232"
"08_male","1214.059","105.009765625","44100","80","129","0.10625513257592918","13.111328125","8.009086846417398","44100","80195","138","0.11366828136029633","13.3388671875","7.872465041364668","48000","89525"
"08_male","1214.059","105.009765625","44100","96","145","0.11943406374813745","15.4794921875","6.7837991293924675","44100","95874","113","0.09307620140372092","15.8857421875","6.610315362390115","48000","106619"
"08_male","1214.059","105.009765625","44100","112","146","0.12025774694640047","17.806640625","5.897224964352309","44100","111282","150","0.12355247973945253","18.3408203125","5.725467227517171","48000","123097"
"08_male","1214.059","105.009765625","44100","128","145","0.11943406374813745","20.1953125","5.199709864603482","44100","127098","122","0.10048935018808806","20.7724609375","5.055239527995863","48000","139417"
"08_male","1214.059","105.009765625","44100","160","141","0.11613933095508538","24.8212890625","4.2306330408781525","44100","157726","136","0.1120209149637703","25.6025390625","4.1015371705382","48000","171835"
"08_male","1214.059","105.009765625","44100","192","136","0.1120209149637703","29.46875","3.56342788971368","44100","188497","146","0.12025774694640047","30.3115234375","3.4643512999774475","48000","203440"
"08_male","1214.059","105.009765625","44100","224","148","0.1219051133429265","33.767578125","3.1097807854705306","44100","216959","125","0.10296039978287712","34.9384765625","3.005562232719345","48000","234495"
"08_male","1214.059","105.009765625","44100","256","126","0.10378408298114013","34.4189453125","3.0509292098169953","44100","221272","131","0.10790249897245521","39.4140625","2.6642715559960357","48000","264533"
"08_male","1214.059","105.009765625","44100","320","121","0.09966566698982504","34.9814453125","3.001870411211301","44100","224996",,,,,,
"09_cello","3463.8779999999997","298.923828125","44100","8","106","0.03060153966161626","4.9716796875","60.12531919072874","44100","8442","150","0.043304065558890936","3.1904296875","93.69390878481788","48000","7531"
"09_cello","3463.8779999999997","298.923828125","44100","16","129","0.0372414963806462","8.349609375","35.80093567251462","44100","16378","139","0.04012843408457226","7.8583984375","38.03877221324717","48000","18550"
"09_cello","3463.8779999999997","298.923828125","44100","24","144","0.041571902936535295","11.74609375","25.44878616561357","44100","24357","144","0.041571902936535295","11.46875","26.064202997275203","48000","27072"
"09_cello","3463.8779999999997","298.923828125","44100","32","146","0.04214929047732051","15.1552734375","19.72408015980411","44100","32366","162","0.04676839080360221","15.08984375","19.809603934765725","48000","35620"
"09_cello","3463.8779999999997","298.923828125","44100","40","154","0.04445884064046136","18.5966796875","16.07404295541669","44100","40450","163","0.047057084573994816","18.8408203125","15.865754418701083","48000","44474"
"09_cello","3463.8779999999997","298.923828125","44100","48","149","0.043015371788498326","21.955078125","13.615247753758563","44100","48340","132","0.038107577691824025","23.1328125","12.92207024653833","48000","54605"
"09_cello","3463.8779999999997","298.923828125","44100","64","148","0.04272667801810572","28.8154296875","10.373741823973972","44100","64457","127","0.036664108839860994","30.4306640625","9.82311222361285","48000","71832"
"09_cello","3463.8779999999997","298.923828125","44100","80","159","0.04590230949242439","35.5537109375","8.407668854890543","44100","80286","139","0.04012843408457226","37.1435546875","8.04779808071513","48000","87678"
"09_cello","3463.8779999999997","298.923828125","44100","96","161","0.0464796970332096","42.3740234375","7.054412205296029","44100","96309","135","0.03897365900300184","44.04296875","6.7870953436807095","48000","103965"
"09_cello","3463.8779999999997","298.923828125","44100","112","162","0.04676839080360221","48.9609375","6.105353438646881","44100","111783","153","0.044170146870068754","50.671875","5.899205982115325","48000","119612"
"09_cello","3463.8779999999997","298.923828125","44100","128","144","0.041571902936535295","55.5849609375","5.377782462798011","44100","127344","152","0.04388145309967615","57.3173828125","5.215238614485544","48000","135299"
