"Sample","Original size (KB)","Compressed size (KB)","q","qxy","Rate","MOS-LQO speech","MOS-LQO audio","MSE","AVG Absolute Error"
"04_baritone","158.439453125","5.185546875","0.40","0.60","30.554048964218456","1.59667","2.2895","0.11048827056330361","0.0009542542597642353"
"04_baritone","158.439453125","5.185546875","0.40","0.70","30.554048964218456","1.59667","2.2895","0.11048827056330361","0.0009542542597642353"
"04_baritone","158.439453125","5.185546875","0.40","0.80","30.554048964218456","1.59667","2.2895","0.11048827056330361","0.0009542542597642353"
"04_baritone","158.439453125","5.185546875","0.40","0.90","30.554048964218456","1.59667","2.2895","0.11048827056330361","0.0009542542597642353"
"04_baritone","158.439453125","5.185546875","0.40","1.00","30.554048964218456","1.59667","2.2895","0.11048827056330361","0.0009542542597642353"
"04_baritone","158.439453125","2.310546875","0.50","0.00","68.57227387996619","3.96218","2.64077","0.03327114346483344","0.00028721810777371356"
"04_baritone","158.439453125","27.005859375","0.50","0.10","5.8668547045635355","2.61113","2.64084","0.003662833532038431","0.0001683581527529109"
"04_baritone","158.439453125","14.740234375","0.50","0.20","10.748774347422817","1.91722","2.19242","0.021247284432528293","0.0003814566557126598"
"04_baritone","158.439453125","11.060546875","0.50","0.30","14.324739537347696","1.85541","2.47207","0.036572077792124444","0.0004077285242309607"
"04_baritone","158.439453125","8.607421875","0.50","0.40","18.407306557749035","1.67625","2.14742","0.06894636028392362","0.0004956126253589438"
"04_baritone","158.439453125","7.380859375","0.50","0.50","21.466260915586133","1.65641","2.16214","0.08279045831108431","0.0006652644680290711"
"04_baritone","158.439453125","7.380859375","0.50","0.60","21.466260915586133","1.65641","2.16214","0.08279045831108431","0.0006652644680290711"
"04_baritone","158.439453125","6.154296875","0.50","0.70","25.744525547445257","1.59611","2.27509","0.11004380554375416","0.0009515268603140436"
"04_baritone","158.439453125","6.154296875","0.50","0.80","25.744525547445257","1.59611","2.27509","0.11004380554375416","0.0009515268603140436"
"04_baritone","158.439453125","6.154296875","0.50","0.90","25.744525547445257","1.59611","2.27509","0.11004380554375416","0.0009515268603140436"
"04_baritone","158.439453125","6.154296875","0.50","1.00","25.744525547445257","1.59611","2.27509","0.11004380554375416","0.0009515268603140436"
"04_baritone","158.439453125","2.498046875","0.60","0.00","63.425332290852225","3.96585","2.78859","0.03331317281633647","0.0002871484033759337"
"04_baritone","158.439453125","37.966796875","0.60","0.10","4.173105612428623","2.51819","2.52122","0.003435724010609128","0.00015506833418912121"
"04_baritone","158.439453125","20.341796875","0.60","0.20","7.788862217954873","2.04012","2.68921","0.01268932126946511","0.00029134958389736426"
"04_baritone","158.439453125","14.466796875","0.60","0.30","10.95193735655461","1.87886","2.38761","0.0335674851694016","0.00042280192469684036"
"04_baritone","158.439453125","11.529296875","0.60","0.40","13.742334406234118","1.8337","2.18294","0.0453570934833931","0.0004100434783916063"
"04_baritone","158.439453125","8.591796875","0.60","0.50","18.44078199590816","1.65657","2.16279","0.08171505197712313","0.0006544684650025398"
"04_baritone","158.439453125","8.591796875","0.60","0.60","18.44078199590816","1.65657","2.16279","0.08171505197712313","0.0006544684650025398"
"04_baritone","158.439453125","7.123046875","0.60","0.70","22.24321360021936","1.59734","2.28903","0.1085574571163315","0.0009412442283506582"
"04_baritone","158.439453125","7.123046875","0.60","0.80","22.24321360021936","1.59734","2.28903","0.1085574571163315","0.0009412442283506582"
"04_baritone","158.439453125","7.123046875","0.60","0.90","22.24321360021936","1.59734","2.28903","0.1085574571163315","0.0009412442283506582"
"04_baritone","158.439453125","7.123046875","0.60","1.00","22.24321360021936","1.59734","2.28903","0.1085574571163315","0.0009412442283506582"
"04_baritone","158.439453125","2.701171875","0.70","0.00","58.65582067968185","3.96589","2.8453","0.03337423306702584","0.00028733756445796667"
"04_baritone","158.439453125","49.154296875","0.70","0.10","3.2233083005523104","2.9007","2.65104","0.0033609593750324007","0.00015067420589592715"
"04_baritone","158.439453125","25.201171875","0.70","0.20","6.28698752228164","2.29041","2.81779","0.009654197401149924","0.0002491179187424121"
"04_baritone","158.439453125","18.357421875","0.70","0.30","8.630811788488137","2.00233","2.28203","0.026721704338257123","0.0003969697423162089"
